Frame Nr.,Time (sec.),"DI water, 400 SCCM","DI water, 300 SCCM"
128,12.700000000000001,0.001731343987,0.001201303824
129,12.8,0.001799165371,0.001197540109
130,12.9,0.00181063345,0.001159296564
131,13.0,0.001701903249,0.001136688761
132,13.100000000000001,0.001700356699,0.001152951637
133,13.200000000000001,0.001693055498,0.001138401936
134,13.3,0.001663167316,0.001167722971
135,13.4,0.001772442692,0.001180616247
136,13.5,0.001670615605,0.001150581427
137,13.600000000000001,0.001707760125,0.001142663706
138,13.700000000000001,0.001738099995,0.001135909293
139,13.8,0.001625015246,0.001209679774
140,13.9,0.001777595673,0.00117973343
141,14.0,0.001750834849,0.001124087628
142,14.100000000000001,0.00175216004,0.001157017756
